Group	Value
1	Control	8.87904870689557
2	Control	9.53964502103344
3	Control	13.1174166282982
4	Control	10.1410167828492
5	Control	10.2585754703219
6	Control	13.4301299737666
7	Control	10.9218324119784
8	Control	7.46987753078693
9	Control	8.62629429621295
10	Control	9.10867605980008
11	Control	12.4481635948789
12	Control	10.7196276541147
13	Control	10.8015429011881
14	Control	10.2213654318902
15	Control	8.88831773049185
16	Control	13.5738262736062
17	Control	10.9957009564585
18	Control	6.06676568674072
19	Control	11.4027118031274
20	Control	9.05441718454413
21	Control	7.86435258802631
22	Control	9.56405017068341
23	Control	7.94799110338552
24	Control	8.54221754141772
25	Control	8.74992146430149
26	Control	6.62661337851517
27	Control	11.6755740889891
28	Control	10.306746235673
29	Control	7.72372612597611
30	Control	12.5076298421399
31	Control	10.8529284429536
32	Control	9.40985703401546
33	Control	11.79025132209
34	Control	11.7562669750661
35	Control	11.643162163275
36	Control	11.3772805082002
37	Control	11.1078353070752
38	Control	9.87617657884656
39	Control	9.38807467252017
40	Control	9.23905799797523
41	Control	8.61058604215897
42	Control	9.5841654439608
43	Control	7.46920729686347
44	Control	14.337911930677
45	Control	12.41592399661
46	Control	7.7537828335933
47	Control	9.19423032940185
48	Control	9.06668929275356
49	Control	11.5599302366726
50	Control	9.83326186705634
51	Low Dose	12.7599555419843
52	Low Dose	11.9143597339539
53	Low Dose	11.8713886281261
54	Low Dose	16.1058068520434
55	Low Dose	11.3226870430222
56	Low Dose	16.5494118132886
57	Low Dose	7.35374158730934
58	Low Dose	13.7538412489082
59	Low Dose	12.3715627315338
60	Low Dose	12.6478247062319
61	Low Dose	13.1389184482796
62	Low Dose	10.4930296406721
63	Low Dose	11.0003778489917
64	Low Dose	8.94427385067873
65	Low Dose	8.78462632057327
66	Low Dose	12.9105859242128
67	Low Dose	13.3446293358883
68	Low Dose	12.1590126801915
69	Low Dose	14.7668024036392
70	Low Dose	18.1502540568814
71	Low Dose	10.5269065018304
72	Low Dose	5.07249337307756
73	Low Dose	15.0172155733868
74	Low Dose	9.87239771225282
75	Low Dose	9.93597415059793
76	Low Dose	15.0767141090901
77	Low Dose	11.145680978847
78	Low Dose	8.33784686323639
79	Low Dose	12.5439104392475
80	Low Dose	11.5833259126829
